ID	System	Time	Treatment	Sys_Time
L0Z	L	0	Z	L0
L1A	L	1	A	L1
L1B	L	1	B	L1
L1C	L	1	C	L1
L1D	L	1	D	L1
L5A	L	5	A	L5
L5B	L	5	B	L5
L5C	L	5	C	L5
L5D	L	5	D	L5
M0Z	M	0	Z	M0
S0Z	S	0	Z	S0
S1A	S	1	A	S1
S1B	S	1	B	S1
S1C	S	1	C	S1
S1D	S	1	D	S1
S5A	S	5	A	S5
S5B	S	5	B	S5
S5C	S	5	C	S5
S5D	S	5	D	S5
W1a	W	1	a	W1
W1b	W	1	b	W1
W5a	W	5	a	W5
W5b	W	5	b	W5
