ID	System	Time	Treatment	Sys_Time	Sys_Time_Treat	Replicate	S_T_Tr_Rep	Operator	Run
L0ZI	L	0	Z	L0	L0Z	I	L0ZI	gkma	run4
L0ZII	L	0	Z	L0	L0Z	II	L0ZII	gkma	run4
L1AI	L	1	A	L1	L1A	I	L1AI	vove	run2
L1AII	L	1	A	L1	L1A	II	L1AII	vove	run2
L1AIII	L	1	A	L1	L1A	III	L1AIII	vove	run2
L1BI	L	1	B	L1	L1B	I	L1BI	vove	run2
L1BII	L	1	B	L1	L1B	II	L1BII	vove	run2
L1BIII	L	1	B	L1	L1B	III	L1BIII	vove	run2
L1CI	L	1	C	L1	L1C	I	L1CI	vove	run2
L1CII	L	1	C	L1	L1C	II	L1CII	vove	run2
L1CIII	L	1	C	L1	L1C	III	L1CIII	vove	run2
L1DI	L	1	D	L1	L1D	I	L1DI	vove	run2
L1DII	L	1	D	L1	L1D	II	L1DII	vove	run2
L1DIII	L	1	D	L1	L1D	III	L1DIII	vove	run2
L2AI	L	2	A	L2	L2A	I	L2AI	vove	run2
L2AII	L	2	A	L2	L2A	II	L2AII	vove	run2
L2AIII	L	2	A	L2	L2A	III	L2AIII	vove	run2
L2BI	L	2	B	L2	L2B	I	L2BI	vove	run2
L2BII	L	2	B	L2	L2B	II	L2BII	vove	run2
L2BIII	L	2	B	L2	L2B	III	L2BIII	vove	run2
L2CI	L	2	C	L2	L2C	I	L2CI	vove	run2
L2CII	L	2	C	L2	L2C	II	L2CII	vove	run2
L2CIII	L	2	C	L2	L2C	III	L2CIII	vove	run2
L2DI	L	2	D	L2	L2D	I	L2DI	vove	run2
L2DII	L	2	D	L2	L2D	II	L2DII	vove	run2
L2DIII	L	2	D	L2	L2D	III	L2DIII	vove	run2
L3AI	L	3	A	L3	L3A	I	L3AI	vove	run2
L3AII	L	3	A	L3	L3A	II	L3AII	vove	run2
L3AIII	L	3	A	L3	L3A	III	L3AIII	vove	run2
L3BI	L	3	B	L3	L3B	I	L3BI	vove	run2
L3BII	L	3	B	L3	L3B	II	L3BII	vove	run2
L3BIII	L	3	B	L3	L3B	III	L3BIII	vove	run2
L3CI	L	3	C	L3	L3C	I	L3CI	vove	run2
